stock_id,annual_volatility,roa,roe,qoe,accruals,niq,oancfq,atq,ltq,fm_score,Risk_Bucket
stock_281,0.2578,0.0228,5.4783,3.1111,-0.0482,126.0,392.0,5520.0,5497.0,0.7853,5
stock_278,0.2133,0.0811,0.4175,1.1172,-0.0095,2108.0,2355.0,25981.0,20932.0,0.9045,3
stock_268,0.1649,0.0326,0.4084,1.5485,-0.0179,1608.0,2490.0,49275.0,45338.0,0.4810,1
stock_401,0.1961,0.0606,0.2542,1.2350,-0.0142,617.0,762.0,10188.0,7761.0,0.1082,2
stock_363,0.2304,0.0537,0.1959,1.8336,-0.0447,79.5240,145.8120,1481.4080,1075.4380,1.6740,3
stock_174,0.2852,0.0381,0.1884,1.7480,-0.0285,54.5840,95.4140,1433.4480,1143.6810,0.4017,5
stock_2,0.2465,0.0404,0.1512,1.4548,-0.0184,13686.0,19910.0,338516.0,248028.0,0.8550,3
stock_24,0.1863,0.0459,0.1915,1.3100,-0.0142,131.6000,172.4000,2865.4000,2178.2000,0.6536,1
stock_235,0.2247,0.0441,0.2222,1.3939,-0.0174,660.0,920.0,14960.0,11990.0,0.5320,3
stock_333,0.2495,0.0422,0.0564,1.7406,-0.0312,164.0990,285.6320,3892.4180,982.8900,0.0217,4
stock_161,0.2507,0.0460,0.0720,1.5919,-0.0273,274.7000,437.3000,5966.3000,2151.5000,0.3518,4
stock_328,0.3770,0.0568,0.0801,1.8263,-0.0469,898.0,1640.0,15810.0,4596.0,1.6080,5
stock_22,0.3458,0.0436,0.0785,2.2876,-0.0562,102.5240,234.5320,2350.3800,1044.8310,0.5652,5
stock_437,0.2103,0.0197,0.0266,3.2204,-0.0436,40.3900,130.0730,2055.0890,535.4920,2.0030,2
stock_285,0.2118,0.0400,0.5396,1.1542,-0.0062,379.4000,437.9000,9477.8000,8774.7000,0.2016,2
stock_87,0.1603,0.0385,3.3218,1.5813,-0.0224,578.0,914.0,15026.0,14852.0,19.5129,1
stock_339,0.2012,0.0377,2.3541,1.6424,-0.0242,391.2930,642.6720,10372.7240,10206.5050,0.7244,2
stock_275,0.2292,0.0359,1.2535,2.0614,-0.0381,115.7000,238.5000,3222.6000,3130.3000,7.5742,3
stock_103,0.1980,0.0764,0.1132,0.9738,0.0020,218.1800,212.4580,2855.9390,929.3400,0.0188,1
stock_436,0.2583,0.0792,0.1586,1.3979,-0.0315,1425.0,1992.0,17992.0,9007.0,0.1893,4
stock_419,0.3004,0.0503,0.0916,1.4658,-0.0235,135.8600,199.1480,2698.7910,1216.1560,0.7608,5
stock_91,0.2502,0.0200,0.0608,2.3790,-0.0275,98.5820,234.5280,4937.9370,3315.4900,0.7846,4
stock_307,0.1983,0.0383,0.1007,1.2941,-0.0113,10678.0,13818.0,278955.0,172894.0,-0.4899,2
stock_293,0.2753,0.0632,0.0777,1.2535,-0.0160,54.0020,67.6920,855.0260,160.4030,-0.3432,3
stock_447,0.1802,0.0417,0.0872,1.3362,-0.0140,3025.0,4042.0,72574.0,37890.0,0.1221,1
stock_220,0.2476,0.0621,0.5369,1.2153,-0.0134,108.8370,132.2650,1751.4810,1548.7590,-0.4839,4
stock_253,0.1921,0.0446,5.3254,1.3204,-0.0143,671.0,886.0,15033.0,14907.0,0.6871,1
stock_252,0.3050,0.0375,0.1293,1.4321,-0.0162,346.5250,496.2450,9229.3990,6549.7800,0.6924,5
stock_458,0.2253,0.0539,1.1960,1.0742,-0.0040,138.1330,148.3890,2561.2650,2445.7650,0.6772,3
stock_311,0.2461,0.0491,0.2952,1.3592,-0.0176,129.3950,175.8760,2635.8690,2197.5680,0.6126,3
stock_348,0.1391,0.0271,0.1476,1.7500,-0.0203,2100.0,3675.0,77444.0,63220.0,0.8361,1
stock_406,0.3015,0.0229,0.1130,2.2800,-0.0293,200.0,456.0,8738.0,6968.0,-1.2391,5
stock_100,0.1606,0.0164,0.0520,2.4905,-0.0245,844.0,2102.0,51431.0,35207.0,-0.5554,1
stock_152,0.2824,0.0328,0.0449,1.7766,-0.0255,67.0020,119.0390,2040.1630,548.0460,1.2855,4
stock_410,0.3252,0.0435,0.0511,1.9801,-0.0426,210.6000,417.0000,4839.6000,717.3000,1.6600,5
stock_224,0.3078,0.0399,0.0529,2.1082,-0.0442,128.2710,270.4150,3214.8180,792.2910,1.1502,5
stock_140,0.2178,0.0166,0.0948,3.2548,-0.0374,310.0,1009.0,18714.0,15444.0,0.6565,4
stock_38,0.1911,0.0266,0.0442,1.9207,-0.0245,503.2000,966.5000,18942.8000,7554.5000,0.4467,1
stock_392,0.2070,0.0276,0.1433,1.5672,-0.0157,576.4380,903.4060,20864.3390,16841.4790,0.1391,2
stock_260,0.2044,0.0171,0.0495,2.1677,-0.0200,161.0,349.0,9410.0,6160.0,0.6047,2
