stock_id,annual_volatility,ROA,ROE,QoE,Accruals,niq,oancfq,atq,ltq,FM_Score,Risk_Bucket
stock_278,0.2171,0.0737,0.4959,1.4421,-0.0326,3927.0000,5663.0000,53289.0000,45370.0000,0.4078,1
stock_220,0.2929,0.0811,0.1759,1.4651,-0.0377,274.6100,402.3400,3386.7120,1825.5260,1.7326,3
stock_296,0.2324,0.0546,0.0677,1.4208,-0.0230,524.4550,745.1460,9611.2730,1866.1130,0.5717,1
stock_267,0.3374,0.0486,0.2341,1.5828,-0.0283,5582.5000,8835.9000,114935.4000,91084.6000,1.1024,5
stock_224,0.3131,0.0670,0.0912,1.3188,-0.0214,424.1690,559.3890,6330.3560,1679.1620,2.4325,3
stock_29,0.2692,0.0357,0.3343,1.4565,-0.0163,3216.0000,4684.0000,90141.0000,80522.0000,1.1517,3
stock_40,0.5631,0.1317,0.5669,1.2608,-0.0343,835.5450,1053.4220,6343.0350,4869.1150,0.6412,3
stock_87,0.2114,0.0420,0.5945,1.7133,-0.0300,736.0000,1261.0000,17513.0000,16275.0000,0.2820,1
stock_418,0.2678,0.0264,0.0521,2.1433,-0.0302,663.0000,1421.0000,25081.0000,12351.0000,0.0971,2
stock_188,0.2662,0.0521,0.1422,1.3460,-0.0180,3052.0000,4108.0000,58533.0000,37077.0000,1.9495,2
stock_312,0.5077,0.0610,0.0891,1.6052,-0.0369,5240.0000,8411.0000,85971.0000,27165.0000,1.0560,4
stock_281,0.2799,0.0356,1.1250,2.4180,-0.0505,189.0000,457.0000,5311.0000,5143.0000,-0.7457,3
stock_242,0.1891,0.0267,0.0650,1.7797,-0.0208,5152.0000,9169.0000,192816.0000,113539.0000,0.7047,1
stock_268,0.2366,0.0269,0.2619,2.3027,-0.0350,1619.0000,3728.0000,60276.0000,54095.0000,2.4611,3
stock_382,0.2120,0.0508,0.1067,1.1701,-0.0086,163.5270,191.3490,3219.6600,1687.6120,0.0156,1
stock_25,0.3902,0.0523,0.0929,1.4908,-0.0256,1897.0000,2828.0000,36299.0000,15884.0000,-0.1872,5
stock_451,0.2324,0.0361,0.5974,1.7894,-0.0285,225.5000,403.5000,6241.9000,5864.4000,-0.3673,2
stock_199,0.2736,0.0422,0.5376,1.2033,-0.0086,233.2000,280.6000,5521.8000,5088.0000,11.1088,1
stock_295,0.2705,0.0222,0.1784,2.1055,-0.0245,834.0000,1756.0000,37611.0000,32936.0000,2.4050,3
stock_452,0.2284,0.1516,-0.1038,1.4460,-0.0676,212.8000,307.7000,1403.7000,3454.2000,2.3155,2
stock_271,0.4203,0.0716,0.1539,1.1341,-0.0096,1568.6600,1778.9640,21900.2110,11707.4590,-1.6592,5
stock_36,0.2422,0.0416,0.0716,1.9348,-0.0389,132.0000,255.4000,3170.7000,1326.2000,0.9715,2
stock_307,0.2230,0.0436,0.0764,1.6239,-0.0272,27747.0000,45057.0000,636351.0000,273275.0000,-0.1695,1
stock_181,0.3185,0.0506,0.6447,1.3826,-0.0194,473.9000,655.2000,9361.3000,8626.2000,1.6582,3
stock_8,0.2750,0.0629,0.1597,1.7026,-0.0442,1856.0000,3160.0000,29496.0000,17873.0000,0.8395,3
stock_217,0.3097,0.0344,0.0749,1.3792,-0.0131,385.0000,531.0000,11177.0000,6034.0000,-0.0179,4
stock_252,0.3800,0.0687,0.2249,1.0362,-0.0025,1121.0400,1161.5910,16317.9740,11332.9030,-0.4080,4
stock_256,0.1746,0.0349,0.1111,1.3644,-0.0127,3696.0000,5043.0000,106045.0000,72778.0000,0.1062,1
stock_39,0.3252,0.0459,0.0988,1.1807,-0.0083,1245.7000,1470.8000,27143.0000,14536.1000,-0.2100,4
stock_74,0.2863,0.0245,0.1113,1.6248,-0.0153,2300.0000,3737.0000,93722.0000,73063.0000,-0.0440,4
stock_3,0.2543,0.0014,-0.0716,37.7634,-0.0511,186.0000,7024.0000,133898.0000,136497.0000,15.4160,4
stock_289,0.3150,0.0089,0.0140,11.0738,-0.0898,2709.0000,29999.0000,303844.0000,109778.0000,-0.0693,5
stock_260,0.2546,0.0271,0.0741,1.9373,-0.0254,367.0000,711.0000,13542.0000,8588.0000,0.3212,2
stock_10,0.2762,0.0021,0.0047,16.7500,-0.0328,108.0000,1809.0000,51918.0000,29166.0000,-2.0097,5
stock_2,0.2796,0.0765,0.3725,1.0824,-0.0063,27466.0000,29728.0000,359241.0000,285508.0000,-0.1637,2
stock_37,0.4241,0.0116,0.0299,7.1220,-0.0709,205.0000,1460.0000,17699.0000,10836.0000,0.2699,5
stock_384,0.2338,0.0332,0.0870,1.6156,-0.0204,511.9350,827.0880,15414.9660,9530.9640,0.0127,2
stock_274,0.3483,0.0195,0.2244,2.6611,-0.0324,419.0000,1115.0000,21502.0000,19635.0000,1.3700,5
stock_140,0.2844,0.0355,0.1339,1.4177,-0.0148,632.0000,896.0000,17791.0000,13072.0000,2.4334,4
stock_214,0.2713,0.0203,0.0605,3.0469,-0.0417,276.3200,841.9160,13579.4260,9014.9800,1.9130,4
